@relation C__Users_sever_Documents_GitHub_ArgumentationMining_dataset_en_result_classes

@attribute text string
@attribute @@class@@ {con_,pro}

@data

'Health insurance companies should not cover treatment in complementary medicine\r\nunless the promised effect and its medical benefit have been concretely proven.\r\nYet this very proof is lacking in most cases.\r\nPatients do often report relief of their complaints after such treatments.\r\nBut as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.\r\n',con_
'Yes, it\'s annoying and cumbersome to separate your rubbish properly all the time.\r\nThree different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.\r\nBut still Germany produces way too much rubbish\r\nand too many resources are lost when what actually should be separated and recycled is burnt.\r\nWe Berliners should take the chance and become pioneers in waste separation!\r\n',pro
'Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,\r\nand others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.\r\nNevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,\r\nfor we need general and independent media.\r\nAfter all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.\r\n',con_
'One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.\r\nAnd when bad luck does strike and you step into one of the many \'land mines\' you have to painstakingly scrape the remains off your soles.\r\nHigher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.\r\nOf course, first they\'d actually need to be caught in the act by public order officers,\r\nbut once they have to dig into their pockets, their laziness will sure vanish!\r\n',pro
'The death penalty is a legal means that as such is not practicable in Germany.\r\nFor one thing, inviolable human dignity is anchored in our constitution,\r\nand furthermore no one may have the right to adjudicate upon the death of another human being.\r\nEven if many people think that a murderer has already decided on the life or death of another person,\r\nthis is precisely the crime that we should not repay with the same.\r\n',con_
'Intelligence services must urgently be regulated more tightly by parliament;\r\nthis should be clear to everyone after the disclosures of Edward Snowden.\r\nGranted, those concern primarily the British and American intelligence services,\r\nbut the German services evidently do collaborate with them closely.\r\nTheir tools, data and expertise have been used to keep us under surveillance for a long time.\r\n',pro
'Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the \'morning-after pill\' and feel at ease.\r\nBut it\'s not that simple.\r\nPerhaps a new life was already created that night.\r\nI would kill it without further thought.\r\nThat\'s why a visit to the doctor and professional advice should remain mandatory.\r\n',con_
'Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.\r\nThis results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.\r\nThat\'s why causing such obstacles must to be more urgently punished.\r\nDog owners may think that dog dirt is only a harmless secretion of an animal like any other.\r\nYet then they misjudge its impact on road traffic.\r\n',pro
'The choice of an attending physician is at the discretion of the patient.\r\nYet the funds of the health insurance companies are a common benefit for all premium payers.\r\nThey should not be spent on personal preferences without proven use.\r\nThe effectiveness of many natural remedies has not been demonstrated.\r\nTherefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.\r\n',con_
'It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.\r\nClearly the landlord has to pay for some repairs before a new lease.\r\nBut surely these costs could be covered by a minimal increase in rent over the course of the entire lease.\r\nAll the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.\r\n',pro
'It is desirable that no one channels his or her wealth past the tax authorities.\r\nThose who do or try to should be held accountable if at all possible.\r\nHaving said that, state funds are often wasted on nonsensical investments,\r\nso that this ideal appears unworthy of support in many ways.\r\nBesides, the trading of information is obviously driven by greed of gain.\r\nTax data that are not made available for free should therefore not be acquired by the state.\r\n',con_
'Alternative treatments should be subsidized in the same way as conventional treatments,\r\nsince both methods can lead to the prevention, mitigation or cure of an illness.\r\nBesides it should be in the interest of the health insurers to recognize alternative medicine as treatment,\r\nsince there is a chance of recovery.\r\nIt doesn\'t matter after all that those who administer the treatment don\'t have \'doctor status\'.\r\n',pro
'Olympic events are rooted in old traditions.\r\nOn the other hand, the events have a culturally determined character.\r\nOur society is strongly digitized and influenced by computers.\r\nYet sports are usually associated with physical training.\r\nSince however skat, chess etc. are not accepted as Olympic events,\r\ncomputer games should also not be recognized as Olympic events.\r\n',con_
'For dog dirt left on the pavement dog owners should by all means pay a bit more.\r\nIndeed it\'s not the fault of the animals,\r\nbut once you step in it, their excrement seems to stick rather persistently to your soles.\r\n',pro
'Tuition fees should not be charged in Germany.\r\nStudying and taking higher degrees must remain a basic right for everyone.\r\nFees result in longer durations of studies.\r\nThat\'s costly!\r\n',con_
'Some may find the idea of a school uniform anachronistic,\r\nor regard it as too much of an intervention into the leeway of students and parents to make decisions.\r\nIndeed, however, it\'s already the case today that students of apparently \'uniform-free\' schools are essentially wearing a uniform consisting of certain brand-name garments.\r\nA simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.\r\n',pro
'No, the retirement age should be raised to 65 again.\r\nPeople are getting older on average,\r\nbut they are not sicker and not duller because of it.\r\nWithout them we\'d forgo a great deal of collected experience.\r\nAnd we\'d have to offer more leisure activities for seniors.\r\n',con_
'Health insurance companies should naturally cover alternative medical treatments.\r\nNot all practices and approaches that are lumped together under this term may have been proven in clinical trials,\r\nyet it\'s precisely their positive effect when accompanying conventional \'western\' medical therapies that\'s been demonstrated as beneficial.\r\nBesides many general practitioners offer such counselling and treatments in parallel anyway -\r\nand who would want to question their broad expertise?\r\n',pro
'No human being or human committee should again be given the permission to rule over \'life or death\'.\r\nCourts are also subject to human error.\r\nThat\'s why Germany should not introduce capital punishment!\r\nEvery human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.\r\nA door must remain open for making amends.\r\n',con_
'Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.\r\nIt is in fact good to support sophisticated programming through fees.\r\nCuriously, however, there are still adverts and product placements on the public channels.\r\nWhat are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?\r\nAlso the scripts are often copied off each other.\r\n',pro
'The death penalty should be abandoned everywhere.\r\nFrom a Christian and humanistic perspective it is not allowed to kill someone.\r\nProponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.\r\nHowever also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.\r\nMoreover it turns out time and again that innocent people are also convicted and executed.\r\n',con_
'Well, I as an employee find it very practical to be able to shop at least on weekends.\r\nSure, other people have to work in the shops on the weekend,\r\nbut they can have days off during the week and run errands at their leisure while I\'m stuck in the office.\r\nPlus, the state wants me to spend my money,\r\nand how am I supposed to do that when the shops aren\'t open when I\'m off work?\r\n',pro
'The universities in Germany should not under any circumstances charge tuition fees.\r\nThis would impede or prevent access to those who are financially weaker.\r\nThe anticipated objectives of tuition fees can be achieved by other means.\r\nThere are other instruments to motivate tighter discipline while studying.\r\nAnd funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.\r\n',con_
'The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.\r\nThis is also more akin to the real working world later, where performance isn\'t singular, but constant and has to be delivered over longer periods.\r\nThat\'s why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).\r\nHowever, the effort required for the individual equally weighted modules differs strongly.\r\nIt would therefore be wise to adjust the required effort for final theses accordingly.\r\n',pro
